127.0.0.1 - - [19/Feb/2025:22:13:48 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:13:53 +0530] "GET /HMS/Component/Navbar.jsp HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:13:53 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:13:56 +0530] "GET /HMS/Component/index.jsp HTTP/1.1" 404 753
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/ HTTP/1.1" 200 7030
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/hos_2.jpeg HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/hos.jpeg HTTP/1.1" 200 7057
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/doc_5.jpeg HTTP/1.1" 200 4994
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/hos_3.jpeg HTTP/1.1" 200 10508
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/doc_1.jpeg HTTP/1.1" 200 4244
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/doc_2.jpeg HTTP/1.1" 200 5793
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/doc_3.jpeg HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:13 +0530] "GET /HMS/image/doc_4.jpeg HTTP/1.1" 200 5707
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:14:14 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:17:15 +0530] "GET /HMS/doctor_login.jsp HTTP/1.1" 200 3659
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:17:18 +0530] "GET /HMS/user_appoint.jsp HTTP/1.1" 200 6810
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:17:18 +0530] "GET /HMS/image/realhos.jpeg HTTP/1.1" 200 6574
0:0:0:0:0:0:0:1 - - [19/Feb/2025:22:17:53 +0530] "GET /HMS/index.jsp HTTP/1.1" 200 7030
